regime,session,cooldown,atr_filter,direction,total_trades,win_rate,profit_factor,expectancy,max_drawdown_r,sharpe
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,ALL,SELL_ONLY,35,14.29,0.417,-0.5,16.5,-0.402
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,ALL,BOTH,51,23.53,0.769,-0.176,15.5,-0.118
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,ALL,SELL_ONLY,35,14.29,0.417,-0.5,16.5,-0.402
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,ALL,BOTH,49,24.49,0.811,-0.143,14.5,-0.094
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,ALL,SELL_ONLY,33,15.15,0.446,-0.47,15.5,-0.369
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
