candidate_probability,market_score,session,market_regime,volatility_bucket,direction,memory_confidence,memory_pf,memory_matches,is_win
0.54622376,95.1972662317488,0,1,0,0,0.0,0.0,0.0,1
0.5741685,85.02204585537866,1,3,0,0,0.0,0.0,0.0,0
0.5741685,84.57010582010547,1,0,0,0,0.0,0.0,0.0,0
0.54008764,88.16441441441431,2,3,0,0,0.0,0.0,0.0,0
0.51567936,89.53429431332086,0,3,0,0,0.0,0.0,0.0,0
0.5548058,98.80961048416415,1,0,0,0,0.0,0.0,0.0,1
0.70358217,89.02531048577285,1,3,0,0,0.0,0.0,0.0,0
0.6014434,88.45922726632546,1,3,0,0,0.0,0.0,0.0,0
0.58604026,86.24541564792193,1,2,0,0,0.0,0.0,0.0,0
0.6347618,87.7840558865834,1,2,0,0,0.0,0.0,0.0,1
0.5174319,88.8352799033428,0,3,0,0,0.0,0.0,0.0,1
0.6203403,80.49236829148208,1,3,0,0,0.0,0.0,0.0,0
0.653066,91.98367166813767,1,2,0,0,0.0,0.0,0.0,1
0.51587814,88.77946768060875,0,0,0,0,0.0,0.0,0.0,1
0.5895458,83.00460339943328,1,2,0,0,0.0,0.0,0.0,0
0.5895458,82.8937053262616,1,2,0,0,0.0,0.0,0.0,0
0.56679136,83.44708323726053,1,2,0,0,0.0,0.0,0.0,0
0.6027019,81.63246483744439,1,3,0,0,0.0,0.0,0.0,1
0.5399958,87.906261442695,1,0,0,0,0.0,0.0,0.0,1
0.5519143,85.44839928415149,1,2,0,0,0.0,0.0,0.0,1
0.54429096,95.2024808464062,1,0,0,0,0.0,0.0,0.0,0
0.5399958,97.23759541984757,1,0,0,0,0.0,0.0,0.0,0
0.68376964,89.0416635274608,1,3,0,0,0.0,0.0,0.0,1
0.5551297,87.06528859451187,1,3,0,0,0.0,0.0,0.0,1
0.55085236,87.07327227310581,1,3,0,0,0.0,0.0,0.0,1
0.5237274,84.24229808492899,1,3,0,0,0.0,0.0,0.0,1
0.5252593,80.19690238924159,0,3,0,0,0.0,0.0,0.0,0
0.5558777,81.24949235142854,0,3,0,0,0.0,0.0,0.0,1
0.5950778,86.33658286300746,1,0,0,0,0.0,0.0,0.0,0
0.5909015,87.43018159048145,1,0,0,0,0.0,0.0,0.0,0
