rolling_window,recovery_trades,disabled_threshold,degraded_multiplier,warning_multiplier,passing_windows,overall_pf,skipped_pct,skipped_trades,mandatory_pass,worst_dd,w6_dd,w8_dd,w10_dd,asia_normal_opp_cost
30,5,0.64,0.6,0.85,7,1.5989938914840103,0.32373113854595337,472,True,-12.0,-10.65,-12.0,-11.85,82.05
30,5,0.64,0.6,0.9,7,1.5984830528561271,0.32373113854595337,472,True,-12.3,-10.700000000000001,-12.3,-12.200000000000001,81.9
30,5,0.64,0.7,0.85,7,1.5980198019801983,0.32373113854595337,472,True,-12.700000000000001,-10.700000000000001,-11.9,-12.5,80.4
30,5,0.64,0.7,0.9,7,1.5975328568134652,0.32373113854595337,472,True,-12.850000000000001,-10.750000000000002,-12.200000000000001,-12.850000000000001,80.25
30,5,0.5,0.6,0.85,7,1.6034851909123355,0.3168724279835391,462,True,-12.199999999999996,-10.65,-12.0,-11.85,82.05
30,5,0.5,0.6,0.9,7,1.6030830783713816,0.3168724279835391,462,True,-12.3,-10.700000000000001,-12.3,-12.200000000000001,81.9
30,5,0.5,0.7,0.85,7,1.6026945761535798,0.3168724279835391,462,True,-13.4,-10.700000000000001,-11.9,-12.5,80.4
30,5,0.5,0.7,0.9,7,1.6023117418173496,0.3168724279835391,462,True,-13.4,-10.750000000000002,-12.200000000000001,-12.850000000000001,80.25
30,10,0.64,0.6,0.85,7,1.5825825825825828,0.3559670781893004,519,True,-12.899999999999999,-10.65,-12.899999999999999,-7.399999999999999,89.025
30,10,0.64,0.6,0.9,7,1.5810208126858272,0.3559670781893004,519,True,-13.2,-10.7,-13.2,-7.600000000000001,88.95
30,10,0.64,0.7,0.85,7,1.5817120622568095,0.3559670781893004,519,True,-12.95,-10.700000000000001,-12.95,-7.8999999999999995,87.825
30,10,0.64,0.7,0.9,7,1.580202312138728,0.3559670781893004,519,True,-13.25,-10.75,-13.25,-8.100000000000001,87.75
30,10,0.5,0.6,0.85,7,1.59055900621118,0.3484224965706447,508,True,-12.899999999999999,-10.65,-12.899999999999999,-7.399999999999999,87.75
30,10,0.5,0.6,0.9,7,1.5892769306443677,0.3484224965706447,508,True,-13.2,-10.7,-13.2,-7.600000000000001,87.6
30,10,0.5,0.7,0.85,7,1.5897900072411297,0.3484224965706447,508,True,-12.95,-10.700000000000001,-12.95,-7.8999999999999995,86.55000000000001
30,10,0.5,0.7,0.9,7,1.588551625239006,0.3484224965706447,508,True,-13.25,-10.75,-13.25,-8.100000000000001,86.4
30,15,0.64,0.6,0.85,5,1.5569492889723644,0.40260631001371744,587,False,-12.749999999999998,-11.925,-11.7,-7.399999999999999,96.3
30,15,0.64,0.6,0.9,5,1.5554521276595743,0.40260631001371744,587,False,-12.700000000000003,-12.05,-12.0,-7.600000000000001,96.3
30,15,0.64,0.7,0.85,5,1.5588196977592501,0.40260631001371744,587,False,-12.85,-11.975000000000001,-11.55,-7.8999999999999995,95.1
30,15,0.64,0.7,0.9,5,1.5573495220873161,0.40260631001371744,587,False,-12.8,-12.1,-11.850000000000001,-8.100000000000001,95.1
30,15,0.5,0.6,0.85,6,1.5695180084745763,0.39094650205761317,570,False,-12.749999999999998,-11.925,-11.7,-7.399999999999999,92.25
30,15,0.5,0.6,0.9,6,1.5685039370078742,0.39094650205761317,570,False,-12.700000000000003,-12.05,-12.0,-7.600000000000001,92.1
30,15,0.5,0.7,0.85,6,1.572126510671124,0.39094650205761317,570,False,-12.85,-11.975000000000001,-11.55,-7.8999999999999995,91.05000000000001
30,15,0.5,0.7,0.9,6,1.5711190415498348,0.39094650205761317,570,False,-12.8,-12.1,-11.850000000000001,-8.100000000000001,90.9
