timestamp,symbol,session,regime,market_score,ml_probability,session_health,risk_multiplier,health_dynamic,health_source,health_note,decision,reasons
2026-06-24 18:00:02,XAUUSDm,NY,RANGING,75.0,0.3059415,0.46981254,0.3059415,0.16387105,-0.16387105,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.306)
2026-06-24 18:05:02,XAUUSDm,NY,TRENDING_DOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|TRENDING_DOWN|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 18:13:05,XAUUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,XAGUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,BTCUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,ETHUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,NAS100,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,US500,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,GER40,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,EURUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,GBPUSD,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
2026-06-24 18:13:05,USDJPY,UNKNOWN,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,UNKNOWN,0,0.0,0.0,0.0,UNKNOWN,REJECT,missing_data,missing_data
